step,loss,seconds
100,6.554174423217773,0.9173020419839304
101,6.650611400604248,0.9154912499943748
102,6.453858375549316,0.9176042499893811
103,6.699419021606445,0.8660457090009004
104,6.674829006195068,0.8698591670254245
105,6.534805774688721,0.8655840830178931
106,6.598156213760376,0.8748562499822583
107,6.44620418548584,0.8679087500204332
108,6.668661594390869,0.8595318329753354
109,6.4611546993255615,0.9056644589873031
110,6.512021541595459,0.8986900839954615
111,6.609214782714844,0.8680557500047144
112,6.580738067626953,0.8617942500277422
113,6.489387512207031,0.8713590410188772
114,6.649553060531616,0.8685439999972004
115,6.646740674972534,0.8475448749959469
116,6.510870933532715,0.868440250022104
117,6.632545471191406,0.9091128330037463
118,6.491487264633179,0.8850038750097156
119,6.526832342147827,0.8752695420116652
120,6.692339897155762,0.8704474170226604
121,6.53347110748291,0.8612463340105023
122,6.447418451309204,0.8702425420051441
123,6.543286323547363,0.8401673330226913
124,6.369140148162842,0.8992978750029579
125,6.599015235900879,0.905777833017055
126,6.545938968658447,0.8656099170038942
127,6.469038963317871,0.8779070829914417
128,6.399785041809082,0.8805613330041524
129,6.337023019790649,0.8737085839966312
130,6.380190134048462,0.8604462920047808
131,6.553743124008179,0.9108996249851771
132,6.351738452911377,0.9629763749835547
133,6.44660496711731,1.0408504160004668
134,6.532844543457031,1.0274187500181142
135,6.430688381195068,0.9613892500055954
136,6.538402557373047,0.9478507500025444
137,6.447628974914551,0.9517109590233304
138,6.537210941314697,0.9499479579972103
139,6.40187931060791,0.8984404999937396
140,6.45246958732605,0.9616912080091424
141,6.828165769577026,0.8890104579913896
142,6.486193656921387,0.8850660840107594
143,6.499555349349976,0.8944318750000093
144,6.402381658554077,0.897900165989995
145,6.655691623687744,0.8980962920177262
146,6.476037979125977,0.8767397089977749
147,6.496423244476318,0.9368306250253227
148,6.235485315322876,0.928463832999114
149,6.4563820362091064,0.9064852500159759
150,6.362990856170654,0.9077680000045802
151,6.310199499130249,0.9047705830016639
152,6.338505268096924,0.9155832079995889
153,6.446279525756836,0.87142187502468
154,6.295165300369263,0.9269091250025667
155,6.31453275680542,0.9482099160086364
156,6.209386110305786,0.913929125003051
157,6.275606870651245,0.9176364580052905
158,6.216542720794678,1.026870541012613
159,6.358882427215576,0.9302450830000453
160,6.505219459533691,0.9041277499927673
161,6.262003421783447,0.9330409159883857
162,6.587310314178467,0.9702936250250787
163,6.467859745025635,0.9285056249937043
164,6.47215723991394,0.9281496249896009
165,6.303162336349487,0.9428310840157792
166,6.211699485778809,0.926943124999525
167,6.439997434616089,0.909482459013816
168,6.40142560005188,0.9076379999751225
169,6.247617959976196,0.9755371659994125
170,6.310311555862427,0.9532627080043312
171,6.4491798877716064,0.9521629170048982
172,6.17042350769043,0.9777923330257181
173,6.204944372177124,0.9767302499967627
174,6.374323844909668,0.9987857500091195
175,6.247751951217651,0.9267504579911474
176,6.2412025928497314,1.006461458018748
177,6.233543157577515,0.9764418329868931
178,6.380863428115845,0.9772596669790801
179,6.4056556224823,0.9575142500107177
180,6.4099555015563965,0.9603171670169104
181,6.261713743209839,0.9535357499844395
182,6.423832893371582,0.9122705420013517
183,6.347004175186157,1.0225560840044636
184,6.189964771270752,0.9917435410025064
185,6.245590686798096,0.9649443340022117
186,6.527452230453491,0.9558258339820895
187,6.369234085083008,0.9766234160051681
188,6.19558572769165,0.9756252499937546
189,6.215963125228882,0.9183953749889042
190,6.32477068901062,1.006098749989178
191,6.19434928894043,0.9997000409930479
192,6.3160624504089355,0.9715791670023464
193,6.222903728485107,0.9698190829949453
194,6.190762996673584,0.9829585409897845
195,6.260293483734131,0.9737089999835007
196,6.103693723678589,0.9228149589907844
197,6.229569435119629,1.0263722079980653
198,6.375798940658569,1.0008970829949249
199,6.330068588256836,0.9729019579826854
