step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.396567821502686,0.6992800000007264,8192,5255418748,1417711832,1076902552,722092032
1,10.360120296478271,0.6152347089955583,8192,6161390588,1417711832,1076902492,746176512
2,10.20525312423706,0.6116408749949187,8192,6161390588,1417711832,1074805332,746176512
3,9.896499633789062,0.6177705000154674,8192,6161390588,1417711832,1074804204,746176512
4,9.60727834701538,0.6019467499863822,8192,6161390588,1417711832,1073756784,746176512
5,9.401662826538086,0.6118587499950081,8192,6161390588,1417711832,1074805372,746176512
6,9.12752628326416,0.5956625420076307,8192,6161390588,1417711832,1074803624,746176512
7,8.94751501083374,0.5949553749815095,8192,6161390588,1417711832,1075853912,746176512
8,8.70183801651001,0.6203279590117745,8192,6161390588,1417711832,1075853972,746176512
9,8.472141742706299,0.630718792002881,8192,6161390588,1417711832,1074804100,747913216
10,8.451558113098145,0.6077934579807334,8192,6161390588,1417711832,1073756800,1655734272
11,8.178814888000488,0.6295809999865014,8192,6161390588,1417711832,1074803668,1655734272
12,8.08797550201416,0.6048626250121742,8192,6161390588,1417711832,1074805240,1655734272
13,8.196790218353271,0.6044442499987781,8192,6161390588,1417711832,1073758240,1655734272
14,7.970118522644043,0.6121680829965044,8192,6161390588,1417711832,1076902568,1655750656
15,7.944040060043335,0.5899144579889253,8192,6161390588,1417711832,1073756724,1655767040
16,7.875287055969238,0.6134430410165805,8192,6161390588,1417711832,1073757180,1655767040
17,7.674039125442505,0.6186494159919675,8192,6161390588,1417711832,1076902068,1659338752
18,7.607704401016235,0.6025358749902807,8192,6161390588,1417711832,1075853944,1659338752
19,7.676764488220215,0.6066287910216488,8192,6161390588,1417711832,1074805416,1659338752
20,7.544231653213501,0.5959704169945326,8192,6161390588,1417711832,1076901824,1659338752
21,7.5481016635894775,0.59142579199397,8192,6161390588,1417711832,1074805156,1659338752
22,7.414425373077393,0.6245247090118937,8192,6161390588,1417711832,1075853896,1659338752
23,7.335960388183594,0.6140742079878692,8192,6161390588,1417711832,1073756252,1659355136
24,7.395888328552246,0.6295775419857819,8192,6161390588,1417711832,1074804212,1661255680
25,7.56850528717041,0.5991322500049137,8192,6161390588,1417711832,1075853288,1661255680
26,7.43376350402832,0.5865142080001533,8192,6161390588,1417711832,1073756760,1661255680
27,7.360165119171143,0.6056106670002919,8192,6161390588,1417711832,1074803652,1661255680
28,7.225200414657593,0.6260112499876413,8192,6161390588,1417711832,1073756756,1661255680
29,7.203235626220703,0.6035289579886012,8192,6161390588,1417711832,1074804856,1661255680
30,7.207701921463013,0.6206364169775043,8192,6161390588,1417711832,1073756640,1664040960
31,7.259160041809082,0.6077861670055427,8192,6161390588,1417711832,1073756824,1664040960
32,7.038660764694214,0.5909484160074499,8192,6161390588,1417711832,1073756824,1664040960
33,7.1148552894592285,0.6129779579932801,8192,6161390588,1417711832,1074804180,1664040960
34,7.143242359161377,0.6191059999982826,8192,6161390588,1417711832,1074805220,1664040960
35,7.136677980422974,0.6079044590005651,8192,6161390588,1417711832,1073756220,1664040960
36,7.204120397567749,0.6109185409732163,8192,6161390588,1417711832,1123040448,1664040960
37,7.13919997215271,0.6244228750001639,8192,6161390588,1417711832,1074804612,1667694592
38,7.233072996139526,0.5931416249950416,8192,6161390588,1417711832,1074803664,1667694592
39,7.024811267852783,0.6280675420130137,8192,6161390588,1417711832,1076901960,1667694592
40,7.076166152954102,0.6205022080102935,8192,6161390588,1417711832,1073756760,1667694592
41,7.197704315185547,0.6085232080076821,8192,6161390588,1417711832,1073756724,1667694592
42,6.998453140258789,0.6044375000055879,8192,6161390588,1417711832,1073756168,1667694592
43,6.88095235824585,0.589295250014402,8192,6161390588,1417711832,1074805356,1667694592
44,6.970119953155518,0.6128109169949312,8192,6161390588,1417711832,1074805856,1670250496
45,7.099751949310303,0.6233774590073153,8192,6161390588,1417711832,1075853812,1670250496
46,7.077823162078857,0.6042433329857886,8192,6161390588,1417711832,1074804624,1670250496
47,7.235016584396362,0.6091334579978138,8192,6161390588,1417711832,1073756820,1670250496
48,6.948253154754639,0.6032675000024028,8192,6161390588,1417711832,1073756160,1670250496
49,6.900400876998901,0.5870587090030313,8192,6161390588,1417711832,1073756840,1670250496
50,7.070945739746094,0.6112176250026096,8192,6161390588,1417711832,1073756756,1670250496
51,6.964375972747803,0.6278021250036545,8192,6161390588,1417711832,1073756784,1673445376
52,7.051937580108643,0.6152448750217445,8192,6161390588,1417711832,1074804896,1673445376
53,6.950546741485596,0.6053400000091642,8192,6161390588,1417711832,1073756872,1673445376
54,6.900984048843384,0.6083678749855608,8192,6161390588,1417711832,1074804236,1673445376
55,6.911080837249756,0.5832326670060866,8192,6161390588,1417711832,1073756648,1673445376
56,6.858669281005859,0.6251940830261447,8192,6161390588,1417711832,1076902468,1673461760
57,6.833071708679199,0.6106318329984788,8192,6161390588,1417711832,1074804696,1673461760
58,6.806478261947632,0.6236086249991786,8192,6161390588,1417711832,1074805252,1682554880
59,6.890347242355347,0.6075699579960201,8192,6161390588,1417711832,1074805244,1682554880
60,6.919023513793945,0.5876463750028051,8192,6161390588,1417711832,1074803620,1682554880
61,6.801082372665405,0.5968513750121929,8192,6161390588,1417711832,1074805840,1682554880
62,6.6342878341674805,0.6279365840018727,8192,6161390588,1417711832,1074805764,1682554880
63,6.658900737762451,0.6119331659865566,8192,6161390588,1417711832,1073756228,1682554880
64,6.836129188537598,0.6146403750171885,8192,6161390588,1417711832,1073756828,1682554880
65,6.865687370300293,0.6140498329768889,8192,6161390588,1417711832,1073756788,1685307392
66,6.881289958953857,0.5921308749821037,8192,6161390588,1417711832,1074803712,1685307392
67,6.851808547973633,0.6052041660004761,8192,6161390588,1417711832,1074805228,1685307392
68,6.782073259353638,0.6142116250121035,8192,6161390588,1417711832,1073756680,1685307392
69,6.864097356796265,0.6087044999876525,8192,6161390588,1417711832,1074804684,1685307392
70,6.635578632354736,0.6187867919798009,8192,6161390588,1417711832,1074804832,1685307392
71,6.787718296051025,0.5973705409851391,8192,6161390588,1417711832,1074804708,1685307392
72,6.848246335983276,0.5978067500109319,8192,6161390588,1417711832,1073756136,1687273472
73,6.644333124160767,0.6546964590088464,8192,6161390588,1417711832,1074803700,1687273472
74,6.750128507614136,0.6152992919960525,8192,6161390588,1417711832,1075853800,1687273472
75,6.767913103103638,0.6080797920003533,8192,6161390588,1417711832,1073756816,1687273472
76,6.659654140472412,0.6160675419960171,8192,6161390588,1417711832,1074805228,1687273472
77,6.785408973693848,0.5901644580007996,8192,6161390588,1417711832,1073756704,1687273472
78,6.492925643920898,0.6051040409947746,8192,6161390588,1417711832,1073756236,1689518080
79,6.7344818115234375,0.6282503330148757,8192,6161390588,1417711832,1074805240,1689518080
80,6.737541198730469,0.6085610419977456,8192,6161390588,1417711832,1073756272,1689518080
81,6.70262336730957,0.6140349580091424,8192,6161390588,1417711832,1075853492,1689518080
82,6.555915832519531,0.6058945000113454,8192,6161390588,1417711832,1073756796,1689518080
83,6.554230690002441,0.5870977090089582,8192,6161390588,1417711832,1076902528,1689518080
84,6.744091033935547,0.6104914169991389,8192,6161390588,1417711832,1075853224,1689518080
85,6.60796594619751,0.6320077499840409,8192,6161390588,1417711832,1124089060,1690566656
86,6.572886943817139,0.6162932080042083,8192,6161390588,1417711832,1073756884,1690566656
87,6.634627819061279,0.6161497079883702,8192,6161390588,1417711832,1074804788,1690566656
88,6.618061304092407,0.6092077500070445,8192,6161390588,1417711832,1073757340,1690566656
89,6.51507043838501,0.6011292499897536,8192,6161390588,1417711832,1073756764,1690566656
90,6.6107635498046875,0.6280811250035185,8192,6161390588,1417711832,1074804168,1690566656
91,6.619662761688232,0.6117659590090625,8192,6161390588,1417711832,1073756208,1690566656
92,6.669682741165161,0.6267627079796512,8192,6161390588,1417711832,1076902460,1693040640
93,6.601694107055664,0.616808167018462,8192,6161390588,1417711832,1073755312,1693040640
94,6.631361484527588,0.5980866249883547,8192,6161390588,1417711832,1073756804,1693040640
95,6.608767747879028,0.5862447499821428,8192,6161390588,1417711832,1073756772,1693040640
96,6.619363307952881,0.6300706250185613,8192,6161390588,1417711832,1074803700,1693040640
97,6.516145467758179,0.6226067090174183,8192,6161390588,1417711832,1073756192,1693040640
98,6.6741862297058105,0.6151719159970526,8192,6161390588,1417711832,1074804192,1693040640
99,6.720564842224121,0.6201382080034819,8192,6161390588,1417711832,1074804212,1694957568
