step,path,raw_bytes,resident_bytes,mode,encode_seconds,payload_bytes,container_overhead_bytes,blocks,raw_blocks,rules,symbols,values,height,dictionary_bytes,header_bytes
257033,blocks.0.mlp.c_fc.weight,1048576,1050005,RAW,0.021905208996031433,1049088,653,8,8,0,0,0,0,0,512
257033,blocks.0.mlp.c_proj.weight,1048576,1049367,RAW,0.020716625003842637,1048704,597,2,2,0,0,0,0,0,128
257033,blocks.1.mlp.c_fc.weight,1048576,1049989,RAW,0.01966637501027435,1049088,637,8,8,0,0,0,0,0,512
257033,blocks.1.mlp.c_proj.weight,1048576,1049351,RAW,0.020464375003939494,1048704,581,2,2,0,0,0,0,0,128
257033,blocks.2.mlp.c_fc.weight,1048576,1049973,RAW,0.019548000011127442,1049088,621,8,8,0,0,0,0,0,512
257033,blocks.2.mlp.c_proj.weight,1048576,1049335,RAW,0.020384999981615692,1048704,565,2,2,0,0,0,0,0,128
257033,blocks.3.mlp.c_fc.weight,1048576,1049957,RAW,0.019650749978609383,1049088,605,8,8,0,0,0,0,0,512
257033,blocks.3.mlp.c_proj.weight,1048576,1049319,RAW,0.020341958006611094,1048704,549,2,2,0,0,0,0,0,128
