step,file,tensor,orientation,rows,cols,cells,dense_bytes,distinct_nonzero_values,singleton_terminals,minimum_symbol_width,minimum_dictionary_and_singleton_bytes,bound_ratio,rejected_95pct,current_uint32_terminal_overflow,positive_zero_cells
1000,model.safetensors,blocks.5.mlp.c_proj.weight,original,512,2048,1048576,4194304,1042588,1048574,31,8233641,1.9630529880523682,True,False,0
1000,model.safetensors,blocks.5.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1042588,1048548,29,7971403,1.9005305767059326,True,False,0
1000,model.safetensors,blocks.6.attn.c_k.weight,original,512,512,262144,1048576,261682,262138,27,1931508,1.8420295715332031,True,False,0
1000,model.safetensors,blocks.6.attn.c_k.weight,transposed,512,512,262144,1048576,261682,262140,27,1931515,1.842036247253418,True,False,0
1000,model.safetensors,blocks.6.attn.c_proj.weight,original,512,512,262144,1048576,261704,262140,27,1931603,1.8421201705932617,True,False,0
1000,model.safetensors,blocks.6.attn.c_proj.weight,transposed,512,512,262144,1048576,261704,262144,27,1931616,1.842132568359375,True,False,0
1000,model.safetensors,blocks.6.attn.c_q.weight,original,512,512,262144,1048576,261677,262140,27,1931495,1.8420171737670898,True,False,0
1000,model.safetensors,blocks.6.attn.c_q.weight,transposed,512,512,262144,1048576,261677,262138,27,1931488,1.842010498046875,True,False,0
1000,model.safetensors,blocks.6.attn.c_v.weight,original,512,512,262144,1048576,261692,262144,27,1931568,1.8420867919921875,True,False,0
1000,model.safetensors,blocks.6.attn.c_v.weight,transposed,512,512,262144,1048576,261692,262144,27,1931568,1.8420867919921875,True,False,0
1000,model.safetensors,blocks.6.mlp.c_fc.weight,original,2048,512,1048576,4194304,1042451,1048552,29,7970869,1.9004032611846924,True,False,0
1000,model.safetensors,blocks.6.mlp.c_fc.weight,transposed,512,2048,1048576,4194304,1042451,1048562,31,8233046,1.9629111289978027,True,False,0
1000,model.safetensors,blocks.6.mlp.c_proj.weight,original,512,2048,1048576,4194304,1042539,1048566,31,8233414,1.962998867034912,True,False,0
1000,model.safetensors,blocks.6.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1042539,1048544,29,7971192,1.9004802703857422,True,False,0
1000,model.safetensors,blocks.7.attn.c_k.weight,original,512,512,262144,1048576,261644,262140,27,1931363,1.8418912887573242,True,False,0
1000,model.safetensors,blocks.7.attn.c_k.weight,transposed,512,512,262144,1048576,261644,262140,27,1931363,1.8418912887573242,True,False,0
1000,model.safetensors,blocks.7.attn.c_proj.weight,original,512,512,262144,1048576,261674,262142,27,1931490,1.8420124053955078,True,False,0
1000,model.safetensors,blocks.7.attn.c_proj.weight,transposed,512,512,262144,1048576,261674,262142,27,1931490,1.8420124053955078,True,False,0
1000,model.safetensors,blocks.7.attn.c_q.weight,original,512,512,262144,1048576,261689,262144,27,1931556,1.8420753479003906,True,False,0
1000,model.safetensors,blocks.7.attn.c_q.weight,transposed,512,512,262144,1048576,261689,262142,27,1931550,1.8420696258544922,True,False,0
