file,tensor,row_start,rows,cols,cells,positive_zero_cells,nonzero_bit_patterns,special_cells,dense_bytes,dictionary_header_lower_bound_bytes,rejected_by_dictionary_bound
model.safetensors,blocks.0.attn.c_v.weight,288,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_v.weight,320,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_v.weight,352,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_v.weight,384,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_v.weight,416,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_v.weight,448,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_v.weight,480,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,0,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,32,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,64,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,96,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,128,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,160,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,192,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,224,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,256,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,288,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,320,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,352,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,384,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,416,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,448,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,480,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,512,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,544,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,576,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,608,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,640,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,672,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,704,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,736,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,768,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,800,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,832,32,512,16384,0,16379,0,65536,65580,True
model.safetensors,blocks.0.mlp.c_fc.weight,864,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,896,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,928,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,960,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,992,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,1024,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.mlp.c_fc.weight,1056,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1088,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1120,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,1152,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1184,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.mlp.c_fc.weight,1216,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1248,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1280,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1312,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1344,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1376,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1408,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,1440,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1472,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1504,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,1536,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.mlp.c_fc.weight,1568,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1600,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1632,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,1664,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1696,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1728,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1760,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,1792,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1824,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1856,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,1888,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.mlp.c_fc.weight,1920,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.mlp.c_fc.weight,1952,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,1984,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.mlp.c_fc.weight,2016,32,512,16384,0,16383,0,65536,65596,True
