trial	mean_step_seconds	mlx_peak_gib	time_ratio_vs_native	memory_savings_vs_native	memory_savings_vs_dense	calibration_nll	decision
tape-dense	0.8448575833806535	5.187677696347237	1.03448450891177	0.23623025186335922	0.0	6.220080661703289	CONTROL
rows-bitmap	0.9269701791519764	4.760586451739073	1.1350271447156268	0.29910990465200993	0.08232802221095747	6.220080595355058	NOT_SHORTLISTED
bitmap	0.9702270587498788	5.057871177792549	1.187992961355199	0.2553413643468537	0.025022086211347938	6.220080585096152	CONTROL
rows-dense	0.9174027688111528	4.891736123710871	1.1233123445141768	0.2798010428079841	0.05704702372792847	6.220080642737584	NOT_SHORTLISTED
tape-recompute	0.9052945246302988	4.937677696347237	1.1084864244045494	0.2730371716858083	0.04819112031112316	6.220080622260163	CONTROL
native	0.8166942821303382	6.792201064527035	1.0	0.0	-0.309295114711845	6.220080635236697	CONTROL
