step,loss,seconds
100,6.554174423217773,0.8815687080204953
101,6.650611400604248,0.9521415420167614
102,6.453858375549316,0.9392125830054283
103,6.699419021606445,0.9281831250118557
104,6.674829006195068,0.9169532090018038
105,6.534805536270142,0.9165877909981646
106,6.598156213760376,0.9400050420081243
107,6.44620418548584,0.8620360420027282
108,6.668661594390869,0.9592534159892239
109,6.461154937744141,0.976228708983399
110,6.512021541595459,0.9211210420180578
111,6.609214782714844,0.9100656670052558
112,6.580738067626953,0.91421287500998
113,6.489387512207031,0.9270510420028586
114,6.649553060531616,0.8777581249887589
115,6.646740674972534,0.988628291990608
116,6.510870456695557,0.9553546250099316
117,6.632545471191406,0.9101482920232229
118,6.4914870262146,0.9252000830019824
119,6.526832103729248,0.9125051250157412
120,6.692339897155762,0.9198817919823341
121,6.533470869064331,0.8924522080051247
122,6.447418451309204,0.8815164169936907
123,6.543286323547363,0.95757150001009
124,6.369140148162842,0.9298658329935279
125,6.599015235900879,0.990916249982547
126,6.545938968658447,0.9084141670027748
127,6.469038963317871,0.9242163340095431
128,6.399784803390503,0.9080938749830239
129,6.337023019790649,0.859197709010914
130,6.380190134048462,0.9407315419812221
131,6.553743124008179,0.9452386249904521
132,6.351738452911377,0.9483187909936532
133,6.44660496711731,1.0041472089942545
134,6.532844543457031,0.921793916990282
135,6.430688381195068,0.9052939589892048
136,6.538402557373047,0.8950908340048045
137,6.447628974914551,0.9049799579952378
138,6.537210702896118,0.9738507920119446
139,6.40187931060791,0.913394708011765
140,6.45246958732605,0.9055003340181429
141,6.828165531158447,0.9178205000062007
142,6.486193656921387,0.9143703340087086
143,6.499555349349976,0.908485166990431
144,6.402381658554077,0.865644000004977
145,6.655691623687744,1.0221538330079056
146,6.476037979125977,0.9626217920158524
147,6.496423244476318,0.9091180000104941
148,6.235485315322876,0.9134748750075232
149,6.456381797790527,0.9046592919912655
150,6.362990617752075,0.9170149169804063
151,6.310199499130249,0.8648592089884914
152,6.338505744934082,0.9120557499991264
153,6.446279525756836,0.9425316250126343
154,6.295165300369263,0.9031187499931548
155,6.31453275680542,0.9050318750087172
156,6.209386110305786,0.907397332979599
157,6.275606870651245,1.0110404169827234
158,6.2165422439575195,0.8740314170136116
159,6.358882427215576,0.889478584023891
160,6.505219459533691,0.9526023749785963
161,6.262003660202026,0.9102739169902634
162,6.587310314178467,0.9128745000052731
163,6.467859983444214,0.9085753330145963
164,6.47215723991394,0.9347443330043461
165,6.303162336349487,0.8997353750164621
166,6.211699485778809,0.8409602910105605
167,6.439997673034668,0.9438907910080161
168,6.40142560005188,0.9341637089964934
169,6.247617959976196,0.911619457998313
170,6.310311794281006,0.8942643749760464
171,6.4491798877716064,0.9012749170069583
172,6.17042350769043,0.9313120409788098
173,6.204944372177124,0.87836508298642
174,6.374323844909668,0.8948520830017515
175,6.247751712799072,0.9562397089903243
176,6.2412025928497314,0.9055624580068979
177,6.2335429191589355,0.9025335420155898
178,6.380863666534424,0.8998477089917287
179,6.4056556224823,0.9060296250099782
180,6.4099555015563965,0.8916510000126436
181,6.261713981628418,0.8676127080107108
182,6.423832893371582,0.9506593330006581
183,6.347004413604736,0.9262588330020662
184,6.189964771270752,0.892157958005555
185,6.245590686798096,0.9073987500160001
186,6.52745246887207,0.9013689999992494
187,6.369234085083008,0.8982332080195192
188,6.1955859661102295,0.8534051250026096
189,6.215963125228882,0.9302244999853428
190,6.32477068901062,0.9417474170040805
191,6.19434928894043,0.9067493340116926
192,6.3160622119903564,0.9020180829975288
193,6.222903728485107,0.9110082080005668
194,6.190762996673584,0.9058204999892041
195,6.260293483734131,0.8735702080011833
196,6.103693962097168,0.881198332994245
197,6.229569673538208,0.9448940420115832
198,6.375799179077148,0.9385609579912852
199,6.330068826675415,0.9064279999874998
