step,path,raw_bytes,resident_bytes,mode,encode_seconds
0,value_embeds.5.weight.m,67108864,31381,GRAMMAR,0.03817354200873524
0,value_embeds.5.weight.v,67108864,31381,GRAMMAR,0.0418458339991048
0,value_embeds.7.weight.m,67108864,31381,GRAMMAR,0.04482750000897795
0,value_embeds.7.weight.v,67108864,31381,GRAMMAR,0.04352124998695217
1,wte.weight.m,67108864,15224373,GRAMMAR,0.2033560420095455
1,wte.weight.v,67108864,15224081,GRAMMAR,0.20484391701756977
1,blocks.0.attn.c_q.weight.buf,1048576,1049401,RAW,0.026000249985372648
1,blocks.0.attn.c_k.weight.buf,1048576,1049401,RAW,0.02003616699948907
1,blocks.0.attn.c_v.weight.buf,1048576,1049401,RAW,0.02104287498514168
1,blocks.0.attn.c_proj.weight.buf,1048576,1049401,RAW,0.028473374986788258
1,blocks.0.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.09287845899234526
1,blocks.0.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09513195799081586
1,blocks.1.attn.c_q.weight.buf,1048576,1049401,RAW,0.019649374997243285
1,blocks.1.attn.c_k.weight.buf,1048576,1049401,RAW,0.020932125014951453
1,blocks.1.attn.c_v.weight.buf,1048576,1049401,RAW,0.01983099998324178
1,blocks.1.attn.c_proj.weight.buf,1048576,1049401,RAW,0.019645958993351087
1,blocks.1.attn.ve_gate.weight.buf,512,1022,RAW,2.2666994482278824e-05
1,blocks.1.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.09043424998526461
1,blocks.1.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09275774998241104
1,blocks.2.attn.c_q.weight.buf,1048576,1049401,RAW,0.019604875007644296
1,blocks.2.attn.c_k.weight.buf,1048576,1049401,RAW,0.019942249986343086
1,blocks.2.attn.c_v.weight.buf,1048576,1049401,RAW,0.02125216700369492
1,blocks.2.attn.c_proj.weight.buf,1048576,1049401,RAW,0.019727000006241724
1,blocks.2.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08457400000770576
1,blocks.2.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09815066697774455
1,blocks.3.attn.c_q.weight.buf,1048576,1049401,RAW,0.019742417003726587
1,blocks.3.attn.c_k.weight.buf,1048576,1049401,RAW,0.0193123749922961
1,blocks.3.attn.c_v.weight.buf,1048576,1049401,RAW,0.026241749990731478
1,blocks.3.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020001791010145098
