step,loss,seconds,tokens,mlx_active_peak_bytes,rss_peak_bytes
100,6.554174423217773,0.9155635840143077,8192,5301758288,3120693248
101,6.650611400604248,0.9529701249848586,8192,5301758288,3120693248
102,6.453858375549316,1.0546657079830766,8192,5301758288,3120693248
103,6.699418783187866,0.9899846249900293,8192,5301758288,3120693248
104,6.6748292446136475,0.9864743750076741,8192,5301758288,3120693248
105,6.534805536270142,1.0083841670129914,8192,5301758288,3120693248
106,6.598156213760376,1.1208016249875072,8192,5301758288,3120693248
107,6.44620418548584,1.0257176250161137,8192,5301758288,3120693248
108,6.668661594390869,1.1277267089753877,8192,5301758288,3120693248
109,6.4611546993255615,1.194320084003266,8192,5301758288,3120693248
110,6.512021541595459,1.080008666991489,8192,5301758288,3120693248
111,6.609214544296265,1.0099733750103042,8192,5301758288,3120693248
112,6.580738067626953,0.9998461659997702,8192,5301758288,3120693248
113,6.489387512207031,0.9813558750029188,8192,5301758288,3120693248
114,6.649553298950195,0.9565609999990556,8192,5301758288,3120693248
115,6.646740674972534,0.9694769160123542,8192,5301758288,3120693248
116,6.510870456695557,1.0307081669743638,8192,5301758288,3120693248
117,6.632545232772827,0.9875705419981387,8192,5301758288,3120693248
118,6.491487264633179,0.9771186250145547,8192,5301758288,3120693248
119,6.526832103729248,0.9873558330000378,8192,5301758288,3120693248
120,6.692339897155762,0.9704577499942388,8192,5301758288,3120693248
121,6.53347110748291,0.9735625419998541,8192,5301758288,3120693248
122,6.447418451309204,0.9866382500040345,8192,5301758288,3120693248
123,6.543286561965942,1.0289326659985818,8192,5301758288,3120693248
124,6.369139909744263,0.9906217500101775,8192,5301758288,3120693248
125,6.5990149974823,0.971627583989175,8192,5301758288,3120693248
126,6.545938968658447,0.9721438749984372,8192,5301758288,3120693248
127,6.469038724899292,0.9787777089804877,8192,5301758288,3120693248
128,6.399784803390503,0.9682871249970049,8192,5301758288,3120693248
129,6.337023019790649,0.9311623749963474,8192,5301758288,3120693248
130,6.380190372467041,1.0183363750111312,8192,5301758288,3120693248
131,6.553743124008179,1.0125241250207182,8192,5301758288,3120693248
132,6.351738452911377,0.9717851660097949,8192,5301758288,3120693248
133,6.44660496711731,1.0669747499923687,8192,5301758288,3120693248
134,6.532844543457031,0.9826684170111548,8192,5301758288,3120693248
135,6.430688381195068,0.9743150410067756,8192,5301758288,3120693248
136,6.538402557373047,1.050813375011785,8192,5301758288,3120693248
137,6.447628974914551,1.0431130409997422,8192,5301758288,3120693248
138,6.537210941314697,1.0428916249948088,8192,5301758288,3120693248
139,6.40187931060791,1.0086691250035074,8192,5301758288,3120693248
140,6.452469825744629,0.994491833000211,8192,5301758288,3120693248
141,6.8281660079956055,0.9885336669976823,8192,5301758288,3120693248
142,6.486193656921387,1.0226968749775551,8192,5301758288,3120693248
143,6.499555587768555,0.9866717920231167,8192,5301758288,3120693248
144,6.402381420135498,1.0597070840012748,8192,5301758288,3120693248
145,6.655691623687744,1.036528124997858,8192,5301758288,3120693248
146,6.476037979125977,1.0039237919845618,8192,5301758288,3120693248
147,6.496423244476318,0.9891351250116713,8192,5301758288,3120693248
148,6.235485315322876,1.0070376670046244,8192,5301758288,3120693248
149,6.456381797790527,1.0010301660222467,8192,5301758288,3120693248
150,6.362990617752075,0.9555957090051379,8192,5301758288,3120693248
151,6.310199737548828,1.0232876249938272,8192,5301758288,3120693248
152,6.338505268096924,1.0099715830001514,8192,5301758288,3120693248
153,6.446279525756836,0.9924645829887595,8192,5301758288,3120693248
154,6.295165300369263,0.9822932079841848,8192,5301758288,3120693248
155,6.31453275680542,0.9945992089924403,8192,5301758288,3120693248
156,6.209386110305786,1.0127947090077214,8192,5301758288,3120693248
157,6.275606632232666,1.0101163749932311,8192,5301758288,3120693248
158,6.216542720794678,1.0390806670184247,8192,5301758288,3120693248
159,6.358882188796997,1.1795414579974022,8192,5301758288,3120693248
160,6.505219459533691,1.030284542008303,8192,5301758288,3120693248
161,6.262003421783447,1.006146917003207,8192,5301758288,3120693248
162,6.587310314178467,1.0176384169899393,8192,5301758288,3120693248
163,6.467859983444214,1.037996833998477,8192,5301758288,3120693248
164,6.47215723991394,1.039348542020889,8192,5301758288,3120693248
165,6.303162097930908,1.096433166996576,8192,5301758288,3120693248
166,6.211699485778809,1.12459433398908,8192,5301758288,3120693248
167,6.439997673034668,1.1175976250087842,8192,5301758288,3120693248
168,6.40142560005188,1.0691993750224356,8192,5301758288,3120693248
169,6.247617959976196,1.0472217919887044,8192,5301758288,3120693248
170,6.310311794281006,1.0211222080106381,8192,5301758288,3120693248
171,6.4491801261901855,1.156792374997167,8192,5301758288,3120693248
172,6.17042350769043,1.1069622919894755,8192,5301758288,3120693248
173,6.204944610595703,1.0142215419909917,8192,5301758288,3120693248
174,6.374323844909668,0.9830834579770453,8192,5301758288,3120693248
175,6.247751712799072,1.0166923750075512,8192,5301758288,3120693248
176,6.2412025928497314,1.0096624580037314,8192,5301758288,3120693248
177,6.233543395996094,0.9994953330024146,8192,5301758288,3120693248
178,6.380863666534424,0.9624056669999845,8192,5301758288,3120693248
179,6.4056556224823,1.0941394589899573,8192,5301758288,3120693248
180,6.4099555015563965,1.0492318750184495,8192,5301758288,3120693248
181,6.261713981628418,1.0317262920143548,8192,5301758288,3120693248
182,6.423832893371582,0.9977625830215402,8192,5301758288,3120693248
183,6.347004175186157,1.0080348750052508,8192,5301758288,3120693248
184,6.189964771270752,1.0073621660121717,8192,5301758288,3120693248
185,6.245590686798096,1.0584858749934938,8192,5301758288,3120693248
186,6.52745246887207,1.0981048329849727,8192,5301758288,3120693248
187,6.369234085083008,1.0429943340132013,8192,5301758288,3120693248
188,6.1955859661102295,1.0270612919994164,8192,5301758288,3120693248
189,6.215963125228882,1.0950299169926438,8192,5301758288,3120693248
190,6.324770450592041,1.1208809580130037,8192,5301758288,3120693248
191,6.19434928894043,1.0453456249961164,8192,5301758288,3120693248
192,6.3160624504089355,0.9922167500189971,8192,5301758288,3120693248
193,6.222903728485107,1.0186416250071488,8192,5301758288,3120693248
194,6.190763235092163,1.0539182090142276,8192,5301758288,3120693248
195,6.260293483734131,1.1106060419988353,8192,5301758288,3120693248
196,6.103693723678589,1.0259714580024593,8192,5301758288,3120693248
197,6.229569435119629,1.0960090830049012,8192,5301758288,3120693248
198,6.37579870223999,1.0423965829832014,8192,5301758288,3120693248
199,6.330068826675415,1.0149019170203246,8192,5301758288,3120693248
