step,loss,seconds,tokens,mlx_active_peak_bytes,rss_peak_bytes
100,6.554174423217773,0.9333497089974117,8192,5562264736,3120775168
101,6.650611400604248,1.0031115419988055,8192,5562264736,3120775168
102,6.453858375549316,1.0522923750104383,8192,5562264736,3120775168
103,6.699419021606445,1.0704208750103135,8192,5562264736,3120775168
104,6.6748292446136475,1.0357502079859842,8192,5562264736,3120775168
105,6.534805536270142,1.0521337919926737,8192,5562264736,3120775168
106,6.598156213760376,1.0914827919914387,8192,5562264736,3120775168
107,6.44620418548584,1.089325499982806,8192,5562264736,3120775168
108,6.668661594390869,1.0445932919974439,8192,5562264736,3120775168
109,6.461154937744141,1.094556708005257,8192,5562264736,3120775168
110,6.512021541595459,1.1056912499770988,8192,5562264736,3120775168
111,6.609214782714844,1.129216583998641,8192,5562264736,3120775168
112,6.580738067626953,1.0931100839807186,8192,5562264736,3120775168
113,6.489387512207031,1.0949241670023184,8192,5562264736,3120775168
114,6.649553060531616,1.137432958028512,8192,5562264736,3120775168
115,6.646740674972534,1.1580732089933008,8192,5562264736,3120775168
116,6.510870933532715,1.0713314169843215,8192,5562264736,3120775168
117,6.632545471191406,1.057518291985616,8192,5562264736,3120775168
118,6.4914870262146,1.1487731249944773,8192,5562264736,3120775168
119,6.526832103729248,1.0555524159863126,8192,5562264736,3120775168
120,6.692339897155762,1.0361936249828432,8192,5562264736,3120775168
121,6.533470869064331,1.017552166013047,8192,5562264736,3120775168
122,6.447418451309204,1.0149902919947635,8192,5562264736,3120775168
123,6.543286323547363,1.0230575410241727,8192,5562264736,3120775168
124,6.369139909744263,0.9884819170110859,8192,5562264736,3120775168
125,6.599015235900879,0.9736725419934373,8192,5562264736,3120775168
126,6.545938730239868,1.070990707987221,8192,5562264736,3120775168
127,6.469038963317871,1.0339690419787075,8192,5562264736,3120775168
128,6.399784803390503,1.020214499993017,8192,5562264736,3120775168
129,6.337023019790649,1.0181827500055078,8192,5562264736,3120775168
130,6.380190372467041,1.028964458993869,8192,5562264736,3120775168
131,6.553743124008179,1.0189621250028722,8192,5562264736,3120775168
132,6.351738452911377,1.0000968750100583,8192,5562264736,3120775168
133,6.44660496711731,0.9993074579979293,8192,5562264736,3120775168
134,6.532844543457031,1.0772710000164807,8192,5562264736,3120775168
135,6.430688381195068,1.0302562500000931,8192,5562264736,3120775168
136,6.538402795791626,1.0222359169856645,8192,5562264736,3120775168
137,6.447628974914551,1.0329483340028673,8192,5562264736,3120775168
138,6.537210941314697,1.0248626669927035,8192,5562264736,3120775168
139,6.40187931060791,1.0206010410038289,8192,5562264736,3120775168
140,6.452469825744629,0.9599361660075374,8192,5562264736,3120775168
141,6.828165769577026,1.0503117499756627,8192,5562264736,3120775168
142,6.486193656921387,1.0574276669940446,8192,5562264736,3120775168
143,6.499555349349976,1.0275815420027357,8192,5562264736,3120775168
144,6.402381420135498,1.021045542001957,8192,5562264736,3120775168
145,6.655691623687744,1.0315207499952521,8192,5562264736,3120775168
146,6.476037979125977,1.0337683749967255,8192,5562264736,3120775168
147,6.4964234828948975,1.010970165982144,8192,5562264736,3120775168
148,6.235485315322876,0.9572234580118675,8192,5562264736,3120775168
149,6.456381797790527,1.0702811250230297,8192,5562264736,3120775168
150,6.362990617752075,1.0483202500035986,8192,5562264736,3120775168
151,6.310199737548828,1.0590584999881685,8192,5562264736,3120775168
152,6.338505268096924,1.0478097919840366,8192,5562264736,3120775168
153,6.446279525756836,1.0209933750156779,8192,5562264736,3120775168
154,6.295165061950684,1.0286915829929058,8192,5562264736,3120775168
155,6.31453275680542,1.006204584002262,8192,5562264736,3120775168
156,6.209386110305786,0.979718332993798,8192,5562264736,3120775168
157,6.275606870651245,1.1181568329920992,8192,5562264736,3120775168
158,6.2165422439575195,1.0431941249989904,8192,5562264736,3120775168
159,6.358882188796997,1.0247659170127008,8192,5562264736,3120775168
160,6.505219459533691,1.030228374991566,8192,5562264736,3120775168
161,6.262003421783447,1.0312593750131782,8192,5562264736,3120775168
162,6.587310314178467,1.0099356250138953,8192,5562264736,3120775168
163,6.467859745025635,0.9750156250083819,8192,5562264736,3120775168
164,6.47215723991394,1.019796792010311,8192,5562264736,3120775168
165,6.303162097930908,1.0672840410261415,8192,5562264736,3120775168
166,6.2116992473602295,1.0349947499926202,8192,5562264736,3120775168
167,6.439997434616089,1.0326445419923402,8192,5562264736,3120775168
168,6.40142560005188,1.0443134589877445,8192,5562264736,3120775168
169,6.247617721557617,1.024193750025006,8192,5562264736,3120775168
170,6.310311555862427,1.0186719999765046,8192,5562264736,3120775168
171,6.4491798877716064,0.961178707977524,8192,5562264736,3120775168
172,6.17042350769043,1.0649309169966727,8192,5562264736,3120775168
173,6.204944372177124,1.0937165840005036,8192,5562264736,3120775168
174,6.374323844909668,1.026465000002645,8192,5562264736,3120775168
175,6.247751951217651,1.0296097910031676,8192,5562264736,3120775168
176,6.241202354431152,1.0278970829967875,8192,5562264736,3120775168
177,6.2335429191589355,1.0166529589914717,8192,5562264736,3120775168
178,6.380863428115845,1.0092271659814287,8192,5562264736,3120775168
179,6.4056556224823,0.9775064999994356,8192,5562264736,3120775168
180,6.4099555015563965,1.0668341249984223,8192,5562264736,3120775168
181,6.261713981628418,1.0399995000043418,8192,5562264736,3120775168
182,6.423832893371582,1.0217814999923576,8192,5562264736,3120775168
183,6.347004413604736,1.0172123329830356,8192,5562264736,3120775168
184,6.189964771270752,1.0434208340011537,8192,5562264736,3120775168
185,6.245590686798096,1.0228655409882776,8192,5562264736,3120775168
186,6.52745246887207,0.9728906250093132,8192,5562264736,3120775168
