trial	arm	decision	steps	quality_split	calibration_nll	reserved_nll	mean_step_seconds	time_ratio_vs_native	mlx_peak_bytes	rss_peak_bytes	payload_ratio	source_sha256	candidate_sha256	hypothesis
reference	native	REFERENCE_ONLY	10	calibration	10.390796899795532		0.03343925820081495		302393436	450347008		b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	Establish native trajectory before experimental interventions
native	native	CONTROL	2	calibration	10.387175798416138		0.030177708496921696	1.0	302393412	484622336		b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	native
tape-dense	tape_dense	CONTROL	2	calibration	10.387175798416138		0.05305879149818793	1.758211413023631	302393412	481230848	1.0	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	tape-dense
tape-recompute	tape_recompute	CONTROL	2	calibration	10.387175559997559		0.045580021003843285	1.510387079538949	302393412	484048896	0.0	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	tape-recompute
bitmap-metal-r256	bitmap_gpu	INCONCLUSIVE_PILOT_NOT_SHORTLISTED	2	calibration	10.387175559997559		0.05627870849275496	1.8649099383571723	302393412	486293504	0.5364761352539062	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	bitmap-metal-r256
