step,loss,seconds,tokens,mlx_active_peak_bytes,rss_peak_bytes
100,6.554174423217773,0.9321257080009673,8192,5570193744,3120758784
101,6.650611400604248,0.9998948749853298,8192,5570193744,3120758784
102,6.453858375549316,0.9614671670133248,8192,5570193744,3120758784
103,6.699419021606445,0.9476323749986477,8192,5570193744,3120758784
104,6.674829006195068,0.9564963330049068,8192,5570193744,3120758784
105,6.534805536270142,0.9543836670054588,8192,5570193744,3120758784
106,6.598156213760376,0.9876526250154711,8192,5570193744,3120758784
107,6.44620418548584,0.9995301669987384,8192,5570193744,3120758784
108,6.668661594390869,1.0492212079989258,8192,5570193744,3120758784
109,6.461154937744141,0.9657703329867218,8192,5570193744,3120758784
110,6.512021541595459,0.9864430830057245,8192,5570193744,3120758784
111,6.609214544296265,0.9603396250167862,8192,5570193744,3120758784
112,6.580738067626953,1.0020752919954248,8192,5570193744,3120758784
113,6.489387512207031,0.9772877079958562,8192,5570193744,3120758784
114,6.649553298950195,0.9446651249891147,8192,5570193744,3120758784
115,6.646740674972534,0.9786990419961512,8192,5570193744,3120758784
116,6.510870695114136,1.0002994160167873,8192,5570193744,3120758784
117,6.632545471191406,0.9675888339988887,8192,5570193744,3120758784
118,6.491487264633179,0.9569066249823663,8192,5570193744,3120758784
119,6.526832342147827,0.9787287089857273,8192,5570193744,3120758784
120,6.692339897155762,0.9776805840083398,8192,5570193744,3120758784
121,6.533471345901489,0.9767111249966547,8192,5570193744,3120758784
122,6.447418451309204,1.0503380419977475,8192,5570193744,3120758784
123,6.543286323547363,1.0278628339874558,8192,5570193744,3120758784
124,6.369139909744263,1.1134025829960592,8192,5570193744,3120758784
125,6.599015235900879,1.0278182910114992,8192,5570193744,3120758784
126,6.545938730239868,0.9975241670035757,8192,5570193744,3120758784
127,6.469038724899292,0.988067583006341,8192,5570193744,3120758784
128,6.399784803390503,0.9969257080228999,8192,5570193744,3120758784
129,6.337023019790649,0.9152362080058083,8192,5570193744,3120758784
130,6.380190372467041,1.0025143750244752,8192,5570193744,3120758784
131,6.553743124008179,0.9670341250021011,8192,5570193744,3120758784
132,6.351738452911377,0.9728952500154264,8192,5570193744,3120758784
133,6.44660496711731,0.974025208997773,8192,5570193744,3120758784
134,6.532844543457031,0.9729305829969235,8192,5570193744,3120758784
135,6.430688381195068,0.9470922909968067,8192,5570193744,3120758784
